,badge,work_date,cost_center,num_hours,category,description,ws_rule,ws_rule_text,status,race,,,
159,2977,10/6/19,2905,5.18,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
160,2978,10/6/19,1830,7.41,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
162,2994,10/6/19,1649,11.35,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
163,3008,10/6/19,2723,5.33,4007,DTime: Premium,AXB1,A-Shift X5 Body Team 1,Active,Non-Hispanic/Latino,,,
164,3010,10/6/19,2723,5.36,4007,DTime: Premium,AXB3,A-Shift X5 Body Team 3,Active,Non-Hispanic/Latino,,,
166,3022,10/6/19,2777,11.58,4006,Double Time,A11&8B01,Body A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
167,3034,10/6/19,1783,11.5,4006,Double Time,A11&8P62,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
168,3044,10/6/19,2838,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
169,3046,10/6/19,2948,8.06,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
170,3048,10/6/19,1783,11.5,4006,Double Time,A11&8P62,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
171,3060,10/6/19,2825,7.45,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
174,3107,10/6/19,2825,7.41,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
175,3134,10/6/19,1806,5.05,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
176,3146,10/6/19,2941,7.36,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
177,3172,10/6/19,1765,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
179,3187,10/6/19,1806,7.6,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
180,3235,10/6/19,2835,7.5,4006,Double Time,AICP,A-Shift ICP,Active,Non-Hispanic/Latino,,,
181,3236,10/6/19,2833,6.18,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
182,3255,10/6/19,2736,7.41,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
183,3274,10/6/19,2942,5.08,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
184,3280,10/6/19,1745,11.47,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
185,3283,10/6/19,1720,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
186,3286,10/6/19,2803,4.53,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
187,3288,10/6/19,2838,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
188,3313,10/6/19,2777,10.53,4006,Double Time,A11&8B01,Body A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
189,3316,10/6/19,1810,4.58,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
190,3337,10/6/19,2837,6.65,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
191,3352,10/6/19,1831,7.38,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
